User,Edited Articles,Total Edits,Total Minors
Martin Sell,10,103,3
Nicor,48,102,8
Docmo,27,102,12
ChrisM,22,102,99
Elvaube,20,102,1
Chricho,30,101,34
Dmicha,57,100,100
Louis Wu,38,100,21
AxelHH,23,100,23
Agatha Bauer,7,100,7
Arabist,1,100,41
Bwbuz,35,99,51
Flavia67,28,99,54
Hvd69,18,99,40
B. Gutleben,10,99,15
Oltau,6,99,35
Rapober,53,98,81
Nillurcheier,27,98,3
Giftzwerg 88,7,98,9
WikitanvirBot,59,97,97
Kolja21,56,97,75
CherryX,33,97,50
Boonekamp,24,97,70
Arne List,18,97,33
Georg Hügler,15,97,7
Root axs,5,97,75
Chaddy,47,96,94
Karl-Henner,42,96,96
Barnos,5,96,32
SFfmL,61,95,8
Hydro,56,95,91
Ngowatchtransparent,26,95,13
Sicherlich,25,95,48
Crazy1880,66,94,11
Nightflyer,46,94,58
Widerborst,37,94,14
Intimidator,36,94,3
Mick149,25,94,72
Mazbln,19,94,33
Mietschlossherr,13,94,34
STBR,55,93,76
Martin-vogel,47,93,28
RobertLechner,44,93,82
Emkaer,33,93,32
Vinci,21,93,69
Rominator,2,93,51
MerlIwBot,56,92,92
Wst,55,92,74
Dateientlinkerbot,42,92,10
Ilja Lorek,40,92,56
Frīheidasliova,25,92,1
Von Eden,18,92,66
Wetterwolke,18,92,72
F2hg.amsterdam,15,92,44
3ecken1elfer,14,92,6
StefanC,1,92,48
Otberg,40,91,50
Rudolph Buch,17,91,63
Hcdgcz,2,91,3
Baumfreund-FFM,47,90,41
Rabanusmaurus,41,90,18
J budissin,36,90,45
Notebook,17,90,0
Schreibvieh,16,90,25
Rademacher2015,10,90,44
Rosengregor,2,90,11
KLBot2,89,89,89
Florian Adler,48,89,87
Hnsjrgnweis,9,89,5
Sir Quickly,5,89,11
Leif Czerny,5,89,20
Palaver,3,89,11
imported>Whatdoyou,1,89,0
Mr.Helfer,1,89,30
Xocolatl,43,88,88
Adornix,24,88,31
Be11,19,88,0
Abdiel,16,88,5
Yardsrules,16,88,23
DanielDüsentrieb,12,88,0
JamesP,63,87,87
Paddy,63,87,68
Diopuld,38,87,60
Lung,22,87,32
Wikswat,22,87,33
Sänger,20,87,24
Jadadoo,15,87,41
Messina,7,87,0
Nick1964,1,87,25
ArthurBot,57,86,86
Taxiarchos228,32,86,48
Micha.Kramer,12,86,19
Präsident Jelzin,1,86,19
RonMeier,63,85,85
TheK,53,85,8
Mupa280868,53,85,72
Avoided,46,85,84
César,39,85,9
P. Birken,31,85,37
Enemenemu,15,85,25
Thmonline,11,85,33
DE1588,8,85,6
Spacecaptain,5,85,42
Rosenzweig,26,84,32
APPERbot,75,83,77
Jaellee,51,83,79
Mnh,47,83,76
Stefan,47,83,80
Jbergner,40,83,14
Nere,33,83,82
Kharon,29,83,79
Phrood,17,83,46
Alexpl,13,83,27
Hegeba,3,83,68
Happolati,25,82,41
Shoshone,20,82,28
MARK,11,82,53
Init,8,82,19
Habitator terrae,4,82,1
Merkið,48,81,48
Geierkrächz,48,81,78
Reinhard Kraasch,47,81,76
Berlinschneid,41,81,40
Krawi,41,81,79
Millbart,35,81,72
H.Albatros,18,81,77
Uwe W.,18,81,64
EscoBier,11,81,5
König Rhampsinitos,6,81,2
Alexbot,58,80,80
FNDE,37,80,65
Waelder,36,80,60
Siwibegewp,28,80,14
Maximilian Schönherr,25,80,28
Jordi,15,80,34
Osika,14,80,37
